date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-04-29,21,14,0.0,13.7,5,5,31,09:14 AM,No moonset,05:51 AM,07:20 PM,8,18,18,18,14,10,51,0.0,1012,21,10,225,9
2009-04-30,18,13,0.0,13.7,5,5,38,10:24 AM,12:16 AM,05:50 AM,07:21 PM,11,15,15,15,27,4,75,0.0,1010,18,10,229,20
2009-05-01,17,12,0.0,13.7,4,4,44,11:35 AM,01:03 AM,05:49 AM,07:22 PM,10,14,15,14,23,7,76,0.0,1012,17,10,226,17
2009-05-02,20,12,0.0,13.7,5,5,52,12:43 PM,01:43 AM,05:48 AM,07:22 PM,10,16,16,16,17,4,66,0.0,1016,20,10,191,11
2009-05-03,23,16,0.0,13.8,5,5,59,01:50 PM,02:16 AM,05:47 AM,07:23 PM,9,20,20,20,27,17,50,0.5,1015,23,10,56,14
2009-05-04,29,16,0.0,13.8,6,6,66,02:53 PM,02:47 AM,05:46 AM,07:24 PM,11,22,22,22,64,25,54,0.3,1005,29,9,170,37
2009-05-05,15,13,0.0,12.2,3,3,73,03:56 PM,03:16 AM,05:45 AM,07:25 PM,12,12,14,12,44,53,88,3.2,1010,15,10,226,33
2009-05-06,16,13,0.0,13.8,4,4,81,04:58 PM,03:44 AM,05:45 AM,07:26 PM,11,13,14,13,27,19,81,0.1,1013,16,10,219,21
2009-05-07,17,12,0.0,13.8,4,4,88,06:01 PM,04:14 AM,05:44 AM,07:26 PM,11,14,15,14,18,11,77,0.0,1016,17,10,229,15
2009-05-08,18,11,0.0,13.8,4,4,95,07:03 PM,04:46 AM,05:43 AM,07:27 PM,11,16,16,16,14,7,74,0.0,1017,18,10,185,11
2009-05-09,19,14,0.0,13.9,5,5,100,08:04 PM,05:23 AM,05:42 AM,07:28 PM,10,17,17,17,13,5,68,0.0,1016,19,10,206,11
2009-05-10,19,13,0.0,13.9,5,5,100,09:03 PM,06:03 AM,05:41 AM,07:29 PM,11,16,16,16,14,6,71,0.0,1015,19,10,172,10
2009-05-11,19,13,0.0,13.9,5,5,83,09:58 PM,06:49 AM,05:40 AM,07:29 PM,11,17,17,17,13,2,69,0.0,1014,19,10,162,10
2009-05-12,20,13,0.0,13.9,5,5,76,10:46 PM,07:40 AM,05:39 AM,07:30 PM,10,19,19,19,19,0,60,0.0,1015,20,10,189,13
2009-05-13,23,16,0.0,13.9,5,5,68,11:30 PM,08:35 AM,05:39 AM,07:31 PM,9,20,20,20,28,0,49,0.0,1015,23,10,159,17
2009-05-14,23,18,0.0,13.9,6,6,61,No moonrise,09:32 AM,05:38 AM,07:32 PM,10,21,22,21,25,2,51,0.0,1013,23,10,154,14
